"name","type","cost","description","address","production","start","end"
"Освоение месторождения рудного золота в пределах Палатнинского золоторудно-рассыпного узла","Добыча полезных ископаемых","3937","- локализация и оценка прогнозных ресурсов  рудного золота с подсчетом запасов;\r\n- разработка технологии обогащения с извлечением всего комплекса полезных компонентов;\r\n- промышленное освоение месторождения","Тисульский муниципальный район, гора Палатная","россыпное и рудное не аффинированное золото, серебро (в форме агломератов)","2016","2016"
"Строительство автомобильной дороги ""Томск-Тайга""","Транспорт и связь","6734","Начало трассы - примыкание к существующей автомобильной дороге Томск – Мирный (Степановский район). Трасса проходит в обход населенных пунктов Мирный, М. Протопопово, Б. Протопопово, с выходом на дорогу Б.Протопопово – Межениновка. Данный участок планируется реконструировать с доведением до норм II категории. Также используется существующая дорога Межениновка – Басандайка (покрытие щебень). На участке от Басандайки до Таежного отсутствует автодорожная сеть, необходимо строительство нового участка дороги. От Таежного до г. Тайга реконструируется участок автомобильной дороги с щебенистым покрытием.\r\nДанный вариант от Басандайки до г. Тайги проходит вдоль железной дороги Тайга – Томск I. По автодороге планируется минимальное количество мостов, т.к. трасса проложена на возвышениях, что позволяет устраивать только водопропускные трубы.","Томская область - Кемеровская область","инфраструктурный объект","2016","2018"
"Реконструкция ООО ""Птицефабрика Трудармейская"" с выходом на производственную мощность 7500 тонн мяса бройлера в живом весе в год","Сельское хозяйство, охота и лесное хозяйство","120","Реконструкция ООО ""Птицефабрика Трудармейская"" с выходом на производственную мощность 7500 тонн мяса бройлера в живом весе в год. Реконструкция корпусов птицефабрики и приобретение необходимого оборудования: реконструкция производственных корпусов, убойного и кормоцеха; строительство новых корпусов для содержания родительского стада, а также для выращивания ремонтного молодняка; реконструкция склада готовой продукции. ","поселок Трудармейский, ул. Фабричная, д. 1","мясо птицы","2016","2017"
"Создание вагоноремонтных участков","Транспорт и связь","19","Создание вагоно-ремонтных участков на станциях примыкания угледобывающих предприятий для организации подготовки грузовых вагонов под погрузку и текущего отцепочного ремонта грузовых вагонов. Предприятие ООО ВЭРП ""Восток"" заключило договора по открытию новых участков по ремонту вагонов на станциях Белово и Спиченково.\r\nНа станциях Линево, Мереть и Бачаты предприятие ООО ВЭРП ""Восток"" проводит договорную компанию по открытию новых участков по ремонту вагонов. Реализация инвестиционного проекта позволит:\r\n-	оперативно производить ремонт и подготовку грузовых вагонов всех собственников, участвующих в перевозках, под погрузку;\r\n-	сократить парк неисправных вагонов;\r\n-	использовать отремонтированные вагоны под погрузку продукции.\r\nВ перспективе планируется открытие участков на станциях Мыски, Ерунаково, Тырган и других углесборочных станциях Юга Кузбасса.","г.Белово, п.Спиченково (Прокопьевский район, Кемеровская область)","Услуги по ремонту грузовых вагонов","2017","2019"
"Создание дайв-курорта Темир","Деятельность организаций отдыха и развлечений, культуры и спорта","16","Проект нацелен на создание единственного в Сибирском Федеральном округе дайвинг-курорта, на базе уникального водоема, с последующим расширением предприятия и повышения его  конкурентоспособности за счет разработки и освоения новой номенклатуры услуг.","пос. Темиртау, Таштагольский район, Кемеровская область","услуги спортивно-развлекательного и туристско-рекреационного характера","2017","2017"
"Строительство коттеджного поселка в с. Куртуково вблизи г. Новокузнецка","Строительство","160","Проектом предусмотрено строительство загородного коттеджного посёлка вблизи с. Куртуково из 110 домов под черновую отделку площадью 120-215 квадратных метров с земельным участком 10-20 соток, а также отведение еще 17 земельных участков такой же площади под самостоятельную застройку","с. Куртуково","Индивидуальные жилые дома-коттеджи стоимостью 36 тыс. руб/кв.м, земельные участки под индивидуальную застройку стоимостью 1 320 тыс. руб.","2017","2017"
"Завод по розливу напитков ТМ ""Забота"" (вода, соки, молоко, пиво и т.д.)","Пищевое производство","50","Завод по розливу различного рода напитков (соки, нектары, вода, лимонады, пивные или молочные продукты)","Кемеровская область, г. Осинники, ул. Станционная, 1а","Соки: яблочный, апельсиновый, томатный; Нектар: яблоко-виноград, ананас, персик, вишня-яблоко; Морс: клюква, брусника, красная смородина с земляникой и малиной.","2017","2017"
"Строительство I очереди освоения участка ""Иганинский 2""","Добыча полезных ископаемых","8500","На участке недр ""Иганинский 2"" планируется добывать угли марки ""Д"" открытым способом. Начало добычных работ запланировано на 2020 год.","с. Мохово, Беловский р-он, Кемеровсксая обл.","уголь марки Д","2018","2019"
"Механизация технологического процесса по производству и переработке овощей и картофеля ООО ""Колхоз имени Ильича""","Сельское хозяйство, охота и лесное хозяйство","18","Инвестиционный проект предполагает приобретение VPM1400 - полностью автоматического паллетировщика, который используется для упаковки овощной продукции. Важные особенности - его высокая производительность и непрерывность укладки. Автоматическая линия для паллетирования упаковок является полностью компьютеризированной, параметры и производительность корректируются программой. Приобретение данного робота позволяет оперативно реагировать на спрос сетевых ритейлеров и занять свою нишу среди поставщиков на рынке овощной продукции.","Беловский р-он, с. Новобачаты, ул. Советская, 6Б","Овощи открытого грунта: морковь, капуста, свекла, лук.","2018","2019"
"Техническое перевооружение машинотракторного парка КФХ Андриянова А.Ф.","Сельское хозяйство, охота и лесное хозяйство","9","Инвестиционный проект предполагает приобретение нового комбайна CLAAC TUKA NO 320","Беловский р-он, с. Старобачаты, ферма 1","Уборка зерновых культур. Выполнение полевых работ по уборке зерновых культур","2018","2019"
